source_session_path,site,garage,connection_time,disconnect_time,energy_delivered_kwh,maximum_observed_power_kw,maximum_pilot_a,source_compressed_bytes,resource_id
time series data/caltech/California_Garage_01/2-39-91-437-2019-06-13T16-58-36-495751.csv.gz,caltech,California_Garage_01,2019-06-13T16:58:36+00:00,2019-06-14T00:50:10+00:00,1.42604,2.31,32.0,35518,ev_0036
time series data/caltech/California_Garage_01/2-39-79-379-2018-11-13T16-23-20-936638.csv.gz,caltech,California_Garage_01,2018-11-13T16:23:21+00:00,2018-11-13T16:24:52+00:00,0.06107,3.796,32.0,560,ev_0037
time series data/caltech/California_Garage_01/2-39-78-361-2019-09-16T15-34-59-884568.csv.gz,caltech,California_Garage_01,2019-09-16T15:35:00+00:00,2019-09-16T15:45:39+00:00,1.00989,6.7808,0.0,2650,ev_0038
time series data/caltech/California_Garage_01/2-39-92-442-2019-05-28T16-55-58-745410.csv.gz,caltech,California_Garage_01,2019-05-28T16:56:02+00:00,2019-05-29T03:42:38+00:00,0.86856,1.779,8.0,42950,ev_0039
time series data/caltech/California_Garage_02/2-6-3-1356-2019-11-04T16-34-00-120489.csv.gz,caltech,California_Garage_02,2019-11-04T16:34:02+00:00,2019-11-04T17:57:54+00:00,4.22428,3.08381,0.0,15398,ev_0040
time series data/caltech/California_Garage_02/2-6-3-1364-2019-11-04T15-09-04-773070.csv.gz,caltech,California_Garage_02,2019-11-04T15:09:07+00:00,2019-11-04T15:44:54+00:00,2.22985,6.36314,0.0,8807,ev_0041
time series data/caltech/California_Garage_01/2-39-79-381-2018-10-11T23-55-17-869892.csv.gz,caltech,California_Garage_01,2018-10-11T23:55:21+00:00,2018-10-12T01:06:29+00:00,2.45836,2.314,,12559,ev_0042
time series data/caltech/California_Garage_01/2-39-89-25-2019-10-24T16-22-46-306457.csv.gz,caltech,California_Garage_01,2019-10-24T16:22:46+00:00,2019-10-24T17:50:00+00:00,9.88247,6.988,32.0,16990,ev_0043
time series data/caltech/California_Garage_02/2-6-3-1358-2019-03-07T17-30-11-253617.csv.gz,caltech,California_Garage_02,2019-03-07T17:30:11+00:00,2019-03-08T00:15:24+00:00,22.41921,6.92266,0.0,58396,ev_0044
time series data/caltech/California_Garage_01/2-39-78-366-2019-02-25T23-39-54-034718.csv.gz,caltech,California_Garage_01,2019-02-25T23:39:54+00:00,2019-02-25T23:59:26+00:00,0.55931,1.75864,0.0,3558,ev_0045
time series data/caltech/California_Garage_02/2-6-3-1624-2020-02-16T21-12-06-423208.csv.gz,caltech,California_Garage_02,2020-02-16T21:12:07+00:00,2020-02-16T22:10:57+00:00,5.81603,10.93572,80.0,10724,ev_0046
time series data/jpl/Arroyo_Garage_01/1-1-194-818-2020-08-11T15-05-15-054035.csv.gz,jpl,Arroyo_Garage_01,2020-08-11T15:05:18+00:00,2020-08-11T19:22:30+00:00,6.13325,3.264,32.0,37380,ev_0047
time series data/caltech/California_Garage_02/2-6-3-1623-2019-07-14T14-27-01-705414.csv.gz,caltech,California_Garage_02,2019-07-14T14:27:38+00:00,2019-07-15T00:53:06+00:00,19.51759,7.41375,80.0,29152,ev_0048
time series data/caltech/California_Garage_02/2-6-3-1626-2019-12-05T20-40-13-758279.csv.gz,caltech,California_Garage_02,2019-12-05T20:40:16+00:00,2019-12-06T04:56:01+00:00,51.31683,16.83022,80.0,63638,ev_0049
time series data/caltech/California_Garage_02/2-6-3-1625-2020-10-22T15-45-07-031478.csv.gz,caltech,California_Garage_02,2020-10-22T15:45:16+00:00,2020-10-22T20:10:52+00:00,4.64104,7.215,80.0,7444,ev_0050
time series data/caltech/California_Garage_01/2-39-139-567-2018-12-02T06-34-13-711649.csv.gz,caltech,California_Garage_01,2018-12-02T06:34:17+00:00,2018-12-02T21:04:24+00:00,65.90001,6.991,32.0,132513,ev_0051
time series data/caltech/California_Garage_02/2-6-3-1364-2019-01-21T02-08-11-127868.csv.gz,caltech,California_Garage_02,2019-01-21T02:08:11+00:00,2019-01-21T02:10:35+00:00,0.0972,3.18802,0.0,716,ev_0052
time series data/caltech/California_Garage_02/2-6-3-1367-2019-05-29T15-55-40-546860.csv.gz,caltech,California_Garage_02,2019-05-29T15:55:44+00:00,2019-05-30T01:30:40+00:00,12.87897,6.80555,0.0,28908,ev_0053
time series data/jpl/Arroyo_Garage_01/1-1-193-819-2020-10-31T18-05-45-215251.csv.gz,jpl,Arroyo_Garage_01,2020-10-31T18:05:48+00:00,2020-11-01T01:21:43+00:00,10.00041,3.357,32.0,49035,ev_0054
time series data/caltech/California_Garage_01/2-39-78-360-2020-02-14T22-35-53-108369.csv.gz,caltech,California_Garage_01,2020-02-14T22:35:53+00:00,2020-02-15T02:06:15+00:00,1.66265,3.35483,0.0,21480,ev_0055
time series data/caltech/California_Garage_01/2-39-79-377-2018-10-22T14-15-54-143265.csv.gz,caltech,California_Garage_01,2018-10-22T14:15:54+00:00,2018-10-23T01:00:51+00:00,15.90627,4.66,,76085,ev_0056
time series data/caltech/California_Garage_01/2-39-125-21-2019-04-02T18-22-20-607296.csv.gz,caltech,California_Garage_01,2019-04-02T18:22:24+00:00,2019-04-03T00:49:58+00:00,1.62426,3.512,32.0,29331,ev_0057
time series data/caltech/California_Garage_01/2-39-91-437-2020-08-24T18-46-55-872106.csv.gz,caltech,California_Garage_01,2020-08-24T18:47:05+00:00,2020-08-24T19:25:41+00:00,2.1168,3.784,32.0,7651,ev_0058
time series data/caltech/California_Garage_01/2-39-92-442-2019-05-20T17-43-15-395681.csv.gz,caltech,California_Garage_01,2019-05-20T17:43:15+00:00,2019-05-20T17:46:04+00:00,0.26587,6.965,32.0,814,ev_0059
time series data/caltech/California_Garage_01/2-39-91-437-2019-06-04T20-22-54-651011.csv.gz,caltech,California_Garage_01,2019-06-04T20:22:58+00:00,2019-06-05T02:52:34+00:00,6.29091,3.499,32.0,39464,ev_0060
time series data/caltech/N_Wilson_Garage_01/2-137-521-3843-2020-09-04T15-31-15-548391.csv.gz,caltech,N_Wilson_Garage_01,2020-09-04T15:31:15.548391+00:00,2020-09-04T17:17:21.656603+00:00,38.901,45.3301,125.0,9595,ev_0061
time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-08-17T23-26-52-243284.csv.gz,caltech,N_Wilson_Garage_01,2020-08-17T23:26:52.243284+00:00,2020-08-17T23:47:33.957704+00:00,12.014,45.9862,125.0,2164,ev_0062
time series data/caltech/California_Garage_01/2-39-139-28-2020-03-14T02-59-38-237351.csv.gz,caltech,California_Garage_01,2020-03-14T02:59:38+00:00,2020-03-14T05:28:11+00:00,14.17241,7.188,32.0,26672,ev_0063
time series data/caltech/California_Garage_01/2-39-130-31-2020-01-31T00-10-05-351700.csv.gz,caltech,California_Garage_01,2020-01-31T00:10:05+00:00,2020-01-31T04:31:01+00:00,9.27261,3.356,32.0,38474,ev_0064
time series data/caltech/California_Garage_01/2-39-127-561-2018-11-15T18-51-02-967755.csv.gz,caltech,California_Garage_01,2018-11-15T18:51:03+00:00,2018-11-16T01:43:15+00:00,34.8705,7.117,32.0,67895,ev_0065
time series data/caltech/California_Garage_01/2-39-78-366-2019-10-14T19-26-55-635962.csv.gz,caltech,California_Garage_01,2019-10-14T19:26:56+00:00,2019-10-15T01:11:21+00:00,35.11506,6.81117,0.0,68876,ev_0066
time series data/caltech/California_Garage_02/2-6-3-1368-2019-11-22T16-40-39-737739.csv.gz,caltech,California_Garage_02,2019-11-22T16:40:43+00:00,2019-11-23T02:17:11+00:00,8.57747,3.39622,0.0,49214,ev_0067
time series data/caltech/California_Garage_01/2-39-139-28-2019-08-10T02-47-25-479383.csv.gz,caltech,California_Garage_01,2019-08-10T02:47:25+00:00,2019-08-10T05:04:53+00:00,0.88262,1.788,8.0,12538,ev_0068
time series data/caltech/California_Garage_01/2-39-124-22-2018-05-16T17-06-44-261170.csv.gz,caltech,California_Garage_01,2018-05-16T17:06:44+00:00,2018-05-17T01:30:37+00:00,5.18387,1.944,,50036,ev_0069
time series data/caltech/California_Garage_02/2-6-3-1361-2019-06-11T01-11-28-269018.csv.gz,caltech,California_Garage_02,2019-06-11T01:11:29+00:00,2019-06-11T03:06:14+00:00,10.162,6.80555,0.0,13771,ev_0070
time series data/caltech/California_Garage_01/2-39-78-361-2018-10-10T15-22-25-035648.csv.gz,caltech,California_Garage_01,2018-10-10T15:22:25+00:00,2018-10-10T15:38:24+00:00,0.88905,3.52747,,3404,ev_0071
time series data/caltech/California_Garage_01/2-39-79-380-2019-08-27T16-03-35-791038.csv.gz,caltech,California_Garage_01,2019-08-27T16:03:39+00:00,2019-08-28T01:43:04+00:00,13.86386,6.355,32.0,59700,ev_0072
time series data/caltech/S_Wilson_Garage_01/2-105-277-1696-2020-11-07T19-04-44-782006.csv.gz,caltech,S_Wilson_Garage_01,2020-11-07T19:04:47+00:00,2020-11-07T22:31:20+00:00,3.1293,6.67,32.0,16665,ev_0073
time series data/office_01/Parking_Lot_01/19-102-260-1639-2020-08-25T15-23-16-617810.csv.gz,office_01,Parking_Lot_01,2020-08-25T15:23:20+00:00,2020-08-25T18:43:03+00:00,15.14168,4.757,32.0,37061,ev_0074
time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-07-26T22-10-25-357951.csv.gz,caltech,N_Wilson_Garage_01,2020-07-26T22:10:25.357951+00:00,2020-07-26T23:13:00.256272+00:00,40.873,42.133,125.0,6211,ev_0075
time series data/caltech/California_Garage_01/2-39-78-361-2018-07-02T04-44-17-169287.csv.gz,caltech,California_Garage_01,2018-07-02T04:44:17+00:00,2018-07-02T07:06:50+00:00,11.50931,6.82136,,22049,ev_0076
time series data/caltech/California_Garage_01/2-39-126-20-2019-03-07T03-52-21-824780.csv.gz,caltech,California_Garage_01,2019-03-07T03:52:25+00:00,2019-03-07T04:07:32+00:00,0.43638,1.781,8.0,3000,ev_0077
time series data/caltech/California_Garage_02/2-6-3-1368-2018-12-24T10-00-33-861188.csv.gz,caltech,California_Garage_02,2018-12-24T10:00:34+00:00,2018-12-24T11:44:22+00:00,5.54078,3.33112,0.0,17496,ev_0078
time series data/caltech/California_Garage_01/2-39-88-24-2019-04-15T19-49-51-784134.csv.gz,caltech,California_Garage_01,2019-04-15T19:49:55+00:00,2019-04-15T21:54:43+00:00,2.12523,6.591,32.0,16626,ev_0079
time series data/caltech/California_Garage_01/2-39-95-444-2018-07-27T16-31-21-233647.csv.gz,caltech,California_Garage_01,2018-07-27T16:31:21+00:00,2018-07-27T17:39:58+00:00,2.16184,3.178,,11215,ev_0080
time series data/caltech/California_Garage_02/2-6-3-1361-2019-10-03T02-03-28-202391.csv.gz,caltech,California_Garage_02,2019-10-03T02:03:28+00:00,2019-10-03T03:06:35+00:00,6.83629,6.59734,0.0,12684,ev_0081
time series data/caltech/California_Garage_01/2-39-139-28-2019-11-15T16-29-53-838412.csv.gz,caltech,California_Garage_01,2019-11-15T16:29:57+00:00,2019-11-16T01:22:56+00:00,4.90483,3.367,32.0,45611,ev_0082
time series data/caltech/California_Garage_01/2-39-79-383-2018-08-15T11-47-45-190568.csv.gz,caltech,California_Garage_01,2018-08-15T11:47:45+00:00,2018-08-15T20:06:22+00:00,12.00707,3.328,,54453,ev_0083
time series data/caltech/California_Garage_02/2-6-3-1363-2020-07-30T16-03-02-017416.csv.gz,caltech,California_Garage_02,2020-07-30T16:03:04+00:00,2020-07-30T23:39:52+00:00,9.77716,6.15493,0.0,50009,ev_0084
time series data/caltech/California_Garage_02/2-6-3-1626-2019-07-15T14-50-42-509592.csv.gz,caltech,California_Garage_02,2019-07-15T14:50:49+00:00,2019-07-15T22:17:36+00:00,26.64795,7.4328,80.0,32960,ev_0085
time series data/caltech/California_Garage_02/2-6-3-1362-2020-09-01T17-27-48-149994.csv.gz,caltech,California_Garage_02,2020-09-01T17:27:48+00:00,2020-09-01T18:39:47+00:00,7.80859,6.76645,0.0,15122,ev_0086
time series data/caltech/California_Garage_01/2-39-123-23-2019-10-05T21-13-37-434872.csv.gz,caltech,California_Garage_01,2019-10-05T21:13:37+00:00,2019-10-05T23:11:15+00:00,4.82692,3.395,32.0,19924,ev_0087
time series data/caltech/California_Garage_02/2-6-3-1360-2019-09-26T15-35-55-822532.csv.gz,caltech,California_Garage_02,2019-09-26T15:35:56+00:00,2019-09-27T03:12:50+00:00,7.99413,3.18802,0.0,59458,ev_0088
time series data/caltech/California_Garage_02/2-6-3-1356-2019-03-07T16-05-09-704653.csv.gz,caltech,California_Garage_02,2019-03-07T16:05:11+00:00,2019-03-08T00:41:52+00:00,5.63069,3.33112,0.0,48556,ev_0089
time series data/caltech/California_Garage_01/2-39-79-381-2020-03-13T16-39-53-605370.csv.gz,caltech,California_Garage_01,2020-03-13T16:39:57+00:00,2020-03-14T01:19:55+00:00,9.84468,6.389,32.0,45340,ev_0090
time series data/caltech/California_Garage_01/2-39-129-563-2018-06-08T18-15-12-083011.csv.gz,caltech,California_Garage_01,2018-06-08T18:15:12+00:00,2018-06-09T02:18:08+00:00,13.98835,6.469,,69615,ev_0091
time series data/caltech/California_Garage_01/2-39-131-30-2020-01-21T16-53-22-868241.csv.gz,caltech,California_Garage_01,2020-01-21T16:59:13+00:00,2020-01-22T04:24:43+00:00,15.85837,3.563,32.0,76090,ev_0092
time series data/caltech/California_Garage_01/2-39-95-27-2018-11-16T03-12-35-510998.csv.gz,caltech,California_Garage_01,2018-11-16T03:12:38+00:00,2018-11-16T06:02:54+00:00,8.06737,3.637,32.0,29565,ev_0093
time series data/caltech/California_Garage_01/2-39-79-381-2018-07-24T18-14-46-134138.csv.gz,caltech,California_Garage_01,2018-07-24T18:14:46+00:00,2018-07-25T00:38:45+00:00,19.94223,6.498,,67530,ev_0094
time series data/caltech/California_Garage_01/2-39-79-376-2018-10-29T00-42-15-226109.csv.gz,caltech,California_Garage_01,2018-10-29T00:42:15+00:00,2018-10-29T01:54:57+00:00,2.71555,3.491,,12466,ev_0095
time series data/caltech/N_Wilson_Garage_01/2-137-521-3844-2020-07-11T03-04-46-566120.csv.gz,caltech,N_Wilson_Garage_01,2020-07-11T03:04:46.566120+00:00,2020-07-11T03:35:20.197948+00:00,18.228,45.7898,125.0,3116,ev_0096
time series data/caltech/California_Garage_01/2-39-79-377-2018-10-23T14-40-57-721043.csv.gz,caltech,California_Garage_01,2018-10-23T14:41:01+00:00,2018-10-24T03:25:48+00:00,15.93986,6.254,,72703,ev_0097
time series data/caltech/California_Garage_01/2-39-79-381-2018-10-06T00-03-22-533838.csv.gz,caltech,California_Garage_01,2018-10-06T00:03:26+00:00,2018-10-06T01:18:44+00:00,4.88038,7.006,,10873,ev_0098
time series data/caltech/California_Garage_01/2-39-129-17-2018-10-23T15-22-10-217076.csv.gz,caltech,California_Garage_01,2018-10-23T15:22:10+00:00,2018-10-23T21:27:40+00:00,8.31197,7.074,,34046,ev_0099
time series data/jpl/Arroyo_Garage_01/1-1-191-812-2020-08-06T22-49-14-247967.csv.gz,jpl,Arroyo_Garage_01,2020-08-06T22:49:15+00:00,2020-08-06T23:54:20+00:00,2.18905,6.211,32.0,13081,ev_0100
time series data/caltech/California_Garage_01/2-39-129-17-2018-11-21T16-46-30-003350.csv.gz,caltech,California_Garage_01,2018-11-21T16:46:30+00:00,2018-11-22T01:01:06+00:00,4.15878,3.589,32.0,43937,ev_0101
time series data/caltech/California_Garage_02/2-6-3-1364-2020-01-08T15-01-35-618537.csv.gz,caltech,California_Garage_02,2020-01-08T15:01:38+00:00,2020-01-09T00:24:00+00:00,8.84407,6.06382,0.0,43460,ev_0102
time series data/caltech/N_Wilson_Garage_01/2-137-521-3844-2020-11-30T23-47-59-673124.csv.gz,caltech,N_Wilson_Garage_01,2020-11-30T23:48:02.153632+00:00,2020-12-01T00:04:38.957441+00:00,8.539,47.3128,125.0,1823,ev_0103
time series data/caltech/California_Garage_01/2-39-123-557-2019-10-30T20-44-28-592223.csv.gz,caltech,California_Garage_01,2019-10-30T20:44:29+00:00,2019-10-30T23:12:42+00:00,13.24543,6.906,32.0,27645,ev_0104
time series data/caltech/California_Garage_02/2-6-3-1627-2019-05-12T20-46-29-869915.csv.gz,caltech,California_Garage_02,2019-05-12T20:46:40+00:00,2019-05-12T22:00:41+00:00,5.81958,10.845,80.0,8673,ev_0105
time series data/jpl/Arroyo_Garage_01/1-1-178-823-2020-10-08T14-14-24-939355.csv.gz,jpl,Arroyo_Garage_01,2020-10-08T14:14:28+00:00,2020-10-08T19:13:54+00:00,15.91074,5.787,29.0,46604,ev_0106
time series data/caltech/California_Garage_01/2-39-91-441-2018-09-24T20-04-43-377612.csv.gz,caltech,California_Garage_01,2018-09-24T20:04:43+00:00,2018-09-25T00:09:58+00:00,6.47327,1.65,,32454,ev_0107
time series data/caltech/S_Wilson_Garage_01/2-105-277-1697-2019-08-19T16-17-22-520445.csv.gz,caltech,S_Wilson_Garage_01,2019-08-19T16:17:26+00:00,2019-08-20T00:26:01+00:00,11.97771,3.215,32.0,58678,ev_0108
time series data/caltech/California_Garage_01/2-39-131-30-2018-11-08T05-12-00-600588.csv.gz,caltech,California_Garage_01,2018-11-08T05:12:04+00:00,2018-11-08T06:24:23+00:00,0.83441,1.739,8.0,8801,ev_0109
time series data/caltech/California_Garage_01/2-39-95-27-2020-01-15T17-59-54-590592.csv.gz,caltech,California_Garage_01,2020-01-15T17:59:58+00:00,2020-01-16T02:29:42+00:00,6.72087,7.046,32.0,39891,ev_0110
time series data/caltech/California_Garage_01/2-39-128-18-2018-06-13T06-21-29-027245.csv.gz,caltech,California_Garage_01,2018-06-13T06:21:29+00:00,2018-06-13T08:10:30+00:00,11.04013,7.045,,21258,ev_0111
time series data/caltech/California_Garage_02/2-6-3-1369-2020-03-15T22-41-27-763292.csv.gz,caltech,California_Garage_02,2020-03-15T22:41:28+00:00,2020-03-16T02:19:54+00:00,2.04548,6.58424,0.0,21037,ev_0112
time series data/caltech/California_Garage_01/2-39-90-440-2019-12-13T22-33-33-934982.csv.gz,caltech,California_Garage_01,2019-12-13T22:33:39+00:00,2019-12-13T23:16:56+00:00,2.28209,3.342,32.0,8430,ev_0113
time series data/caltech/California_Garage_02/2-6-3-1367-2019-10-04T17-06-35-524384.csv.gz,caltech,California_Garage_02,2019-10-04T17:06:39+00:00,2019-10-04T21:46:51+00:00,13.05788,6.71445,0.0,31351,ev_0114
time series data/office_01/Parking_Lot_01/19-102-260-1637-2020-01-31T18-50-48-180807.csv.gz,office_01,Parking_Lot_01,2020-01-31T18:50:48+00:00,2020-02-01T02:21:05+00:00,30.13065,6.583,32.0,75801,ev_0115
time series data/caltech/California_Garage_01/2-39-79-383-2019-02-11T19-22-00-442740.csv.gz,caltech,California_Garage_01,2019-02-11T19:22:00+00:00,2019-02-12T03:06:28+00:00,39.88347,6.694,32.0,80800,ev_0116
time series data/caltech/California_Garage_01/2-39-78-367-2018-05-27T00-30-06-304103.csv.gz,caltech,California_Garage_01,2018-05-27T00:30:06+00:00,2018-05-27T03:10:34+00:00,12.90059,6.77061,,29977,ev_0117
time series data/caltech/California_Garage_01/2-39-78-363-2020-02-28T17-07-00-659347.csv.gz,caltech,California_Garage_01,2020-02-28T17:07:02+00:00,2020-02-28T17:17:47+00:00,0.30292,1.71808,0.0,2377,ev_0118
time series data/caltech/N_Wilson_Garage_01/2-137-441-3003-2020-10-18T01-14-04-304721.csv.gz,caltech,N_Wilson_Garage_01,2020-10-18T01:14:07+00:00,2020-10-18T01:21:40+00:00,0.775,6.637,320.0,1764,ev_0119
