id,heater_type,rated_power_kw,tank_capacity_l,minimum_comfort_temp_c,maximum_temp_c,recovery_rate_c_per_hour,baseline_duty_cycle,dataset_split,data_classification
wh-0065,electric_resistance,5.406414,193.928,48.356,57.196,7.362,0.280705,train,SYNTHETIC
wh-0066,heat_pump,4.563688,210.407,48.05,60.966,5.673,0.237776,train,SYNTHETIC
wh-0067,electric_resistance,5.152556,151.48,49.509,57.906,11.237,0.208534,train,SYNTHETIC
wh-0068,electric_resistance,4.197361,228.32,48.794,59.421,7.124,0.176951,train,SYNTHETIC
wh-0069,heat_pump,3.927467,185.349,48.853,57.186,5.899,0.243336,train,SYNTHETIC
wh-0070,heat_pump,4.762596,158.244,49.211,60.805,5.674,0.378973,train,SYNTHETIC
wh-0071,heat_pump,4.189846,154.173,49.647,57.706,6.721,0.288506,train,SYNTHETIC
wh-0072,heat_pump,3.880431,243.011,49.509,57.346,5.587,0.258832,train,SYNTHETIC
wh-0073,heat_pump,4.081701,159.337,50.7,57.947,4.268,0.212767,train,SYNTHETIC
wh-0074,heat_pump,4.416314,189.21,50.34,58.683,5.594,0.230301,train,SYNTHETIC
wh-0075,heat_pump,4.907414,241.102,49.44,58.846,5.883,0.244005,train,SYNTHETIC
wh-0076,electric_resistance,5.029038,164.24,48.96,59.354,11.968,0.284419,train,SYNTHETIC
wh-0077,heat_pump,4.459557,172.825,50.213,61.0,4.733,0.30948,train,SYNTHETIC
wh-0078,heat_pump,4.477916,207.737,48.735,59.082,4.822,0.312674,train,SYNTHETIC
wh-0079,electric_resistance,4.071642,290.608,48.218,58.278,7.863,0.174401,train,SYNTHETIC
wh-0080,electric_resistance,4.588847,184.797,49.747,59.44,7.898,0.223922,train,SYNTHETIC
wh-0081,heat_pump,4.750743,207.637,48.082,59.235,4.854,0.277436,train,SYNTHETIC
wh-0082,heat_pump,4.846808,183.689,49.267,57.599,4.417,0.269384,train,SYNTHETIC
wh-0083,electric_resistance,4.59329,157.502,49.371,58.18,10.082,0.219223,train,SYNTHETIC
wh-0084,heat_pump,4.475826,265.762,48.511,59.009,5.151,0.234933,train,SYNTHETIC
wh-0085,heat_pump,4.924527,261.005,48.79,60.179,5.696,0.314987,train,SYNTHETIC
wh-0086,heat_pump,4.038719,212.551,48.853,57.852,4.985,0.274481,train,SYNTHETIC
wh-0087,heat_pump,4.922147,289.205,48.039,58.951,5.902,0.285519,train,SYNTHETIC
wh-0088,electric_resistance,4.354327,212.648,49.426,58.974,11.643,0.125975,train,SYNTHETIC
wh-0089,heat_pump,4.348783,212.971,49.188,58.467,4.386,0.182256,train,SYNTHETIC
wh-0090,heat_pump,3.808081,191.198,48.071,57.316,5.197,0.239797,train,SYNTHETIC
wh-0091,heat_pump,4.900206,291.319,49.814,60.59,6.949,0.249477,train,SYNTHETIC
wh-0092,electric_resistance,5.394351,264.773,49.642,58.11,8.21,0.195139,train,SYNTHETIC
wh-0093,electric_resistance,4.663045,268.485,50.174,58.168,9.845,0.13678,train,SYNTHETIC
wh-0094,electric_resistance,4.278282,257.554,49.991,58.908,10.743,0.16402,train,SYNTHETIC
wh-0095,heat_pump,3.900239,249.379,49.687,60.685,6.058,0.212906,train,SYNTHETIC
wh-0096,electric_resistance,5.195064,191.829,50.989,57.953,9.268,0.268414,train,SYNTHETIC
wh-0097,heat_pump,4.055794,160.37,48.384,58.369,4.112,0.292473,train,SYNTHETIC
wh-0098,electric_resistance,4.667862,189.153,49.169,59.407,10.645,0.188698,train,SYNTHETIC
wh-0099,heat_pump,3.849383,244.297,48.827,60.914,6.134,0.182662,train,SYNTHETIC
wh-0100,electric_resistance,4.407311,174.791,50.555,57.121,10.814,0.156189,train,SYNTHETIC
wh-0101,electric_resistance,4.464411,243.742,50.64,60.187,10.613,0.155305,train,SYNTHETIC
wh-0102,heat_pump,3.803178,295.417,48.184,60.494,5.895,0.21463,train,SYNTHETIC
wh-0103,electric_resistance,5.295133,238.391,48.995,58.968,9.874,0.240334,train,SYNTHETIC
wh-0104,electric_resistance,5.398011,277.035,48.399,59.498,8.215,0.251593,train,SYNTHETIC
wh-0105,electric_resistance,5.341249,234.533,50.945,57.048,10.366,0.137242,train,SYNTHETIC
wh-0106,electric_resistance,4.249401,245.814,48.208,58.883,10.029,0.199736,train,SYNTHETIC
wh-0107,heat_pump,4.949655,261.04,50.469,59.339,4.616,0.356618,train,SYNTHETIC
wh-0108,heat_pump,4.461102,245.015,49.335,59.879,5.11,0.37925,train,SYNTHETIC
wh-0109,heat_pump,4.054287,236.825,49.954,59.947,5.331,0.341341,train,SYNTHETIC
wh-0110,electric_resistance,4.885435,248.859,50.646,57.258,8.536,0.180626,train,SYNTHETIC
wh-0111,electric_resistance,4.277812,180.78,48.587,57.893,9.817,0.293727,train,SYNTHETIC
wh-0112,heat_pump,4.090462,218.996,49.563,57.737,6.182,0.36117,train,SYNTHETIC
wh-0113,electric_resistance,4.363633,236.452,50.46,59.937,10.725,0.180507,train,SYNTHETIC
wh-0114,heat_pump,4.115252,207.648,48.64,58.565,6.931,0.322359,train,SYNTHETIC
wh-0115,heat_pump,4.120664,196.087,48.319,58.508,5.704,0.322822,train,SYNTHETIC
wh-0116,electric_resistance,5.002762,211.407,50.215,60.829,10.606,0.263428,train,SYNTHETIC
wh-0117,electric_resistance,4.470268,209.464,49.44,57.954,11.953,0.16395,train,SYNTHETIC
wh-0118,heat_pump,4.259746,212.257,50.396,57.048,6.956,0.317707,train,SYNTHETIC
wh-0119,heat_pump,4.263348,270.953,49.779,57.812,6.965,0.243368,train,SYNTHETIC
wh-0120,heat_pump,4.950604,176.65,50.608,58.997,4.216,0.33176,train,SYNTHETIC
wh-0121,heat_pump,4.868059,229.994,50.252,57.109,6.304,0.204029,train,SYNTHETIC
wh-0122,heat_pump,4.308045,228.154,48.261,57.344,4.298,0.22308,train,SYNTHETIC
wh-0123,heat_pump,4.501999,162.446,48.918,58.677,4.213,0.247699,train,SYNTHETIC
wh-0124,electric_resistance,5.401455,170.544,48.865,57.57,8.247,0.286921,train,SYNTHETIC
wh-0125,electric_resistance,4.959016,213.956,48.86,60.11,11.072,0.135472,train,SYNTHETIC
wh-0126,heat_pump,4.741556,222.067,50.203,58.838,4.319,0.25835,train,SYNTHETIC
wh-0127,heat_pump,4.97961,169.641,49.977,60.986,5.946,0.354926,train,SYNTHETIC
wh-0128,heat_pump,4.918792,201.174,50.933,60.041,4.035,0.355048,train,SYNTHETIC
wh-0129,electric_resistance,4.596909,194.035,48.386,57.486,9.961,0.278128,train,SYNTHETIC
wh-0130,electric_resistance,4.249886,282.573,48.311,59.143,9.804,0.283049,train,SYNTHETIC
wh-0131,heat_pump,4.450484,252.154,50.949,59.868,5.332,0.208644,train,SYNTHETIC
wh-0132,electric_resistance,5.288346,152.872,50.341,60.618,10.972,0.189045,train,SYNTHETIC
wh-0133,heat_pump,3.924218,232.948,49.074,57.304,4.251,0.252549,train,SYNTHETIC
wh-0134,heat_pump,4.906515,263.825,50.235,60.441,5.54,0.330924,train,SYNTHETIC
wh-0135,heat_pump,3.834584,278.578,49.586,57.341,5.282,0.234877,train,SYNTHETIC
wh-0136,heat_pump,4.94051,181.661,48.926,59.394,4.358,0.346699,train,SYNTHETIC
wh-0137,heat_pump,4.2914,188.536,48.155,58.431,5.278,0.366041,train,SYNTHETIC
wh-0138,heat_pump,4.609287,152.722,48.796,58.47,6.685,0.296824,train,SYNTHETIC
wh-0139,heat_pump,4.670379,173.309,48.968,60.388,4.783,0.190836,train,SYNTHETIC
wh-0140,heat_pump,4.795235,247.538,50.183,59.682,5.709,0.204304,train,SYNTHETIC
wh-0141,electric_resistance,4.212313,292.915,48.0,59.723,7.922,0.27435,train,SYNTHETIC
wh-0142,electric_resistance,4.677631,240.274,49.132,60.332,11.278,0.168188,train,SYNTHETIC
wh-0143,heat_pump,3.804699,169.902,48.599,58.792,6.882,0.36125,train,SYNTHETIC
wh-0144,heat_pump,3.927011,174.675,48.716,60.955,4.067,0.194689,train,SYNTHETIC
wh-0145,electric_resistance,4.177561,174.88,48.71,58.397,7.403,0.240675,train,SYNTHETIC
wh-0146,heat_pump,4.145033,258.842,50.629,59.758,5.504,0.262002,train,SYNTHETIC
wh-0147,electric_resistance,4.632988,280.493,50.829,58.649,10.86,0.215109,train,SYNTHETIC
wh-0148,heat_pump,4.869004,218.331,48.114,57.757,6.128,0.226937,train,SYNTHETIC
wh-0149,electric_resistance,5.449733,213.978,49.879,58.442,7.226,0.213386,train,SYNTHETIC
wh-0150,heat_pump,4.381338,183.334,49.514,59.998,4.084,0.331541,train,SYNTHETIC
wh-0151,heat_pump,4.742268,234.578,50.847,60.263,4.995,0.309389,train,SYNTHETIC
wh-0152,heat_pump,4.111762,188.912,48.292,60.589,5.514,0.196455,train,SYNTHETIC
wh-0153,electric_resistance,4.943264,251.882,48.318,60.099,8.26,0.21865,train,SYNTHETIC
wh-0154,electric_resistance,4.409532,193.87,48.891,57.034,11.757,0.179155,train,SYNTHETIC
wh-0155,heat_pump,3.933165,286.909,48.774,58.216,6.107,0.224279,train,SYNTHETIC
wh-0156,electric_resistance,4.546222,222.608,50.741,60.254,11.506,0.13516,train,SYNTHETIC
wh-0157,heat_pump,4.972274,155.909,48.657,59.483,5.418,0.319005,train,SYNTHETIC
wh-0158,electric_resistance,5.464621,252.621,49.716,58.972,8.191,0.234163,train,SYNTHETIC
wh-0159,heat_pump,4.256977,222.227,50.212,59.699,6.524,0.304137,train,SYNTHETIC
wh-0160,heat_pump,4.856583,163.584,49.153,57.452,6.906,0.334663,train,SYNTHETIC
wh-0161,heat_pump,3.819354,277.436,49.904,58.365,4.096,0.353838,train,SYNTHETIC
wh-0162,electric_resistance,4.242918,150.293,49.04,58.485,11.341,0.14745,train,SYNTHETIC
wh-0163,electric_resistance,4.11051,205.589,48.33,58.58,7.617,0.131138,train,SYNTHETIC
wh-0164,electric_resistance,4.751456,154.86,50.314,60.978,9.914,0.14874,train,SYNTHETIC
wh-0165,electric_resistance,4.517893,151.131,50.713,58.629,11.472,0.130235,train,SYNTHETIC
wh-0166,electric_resistance,5.227356,268.173,50.652,60.987,7.378,0.216646,train,SYNTHETIC
wh-0167,electric_resistance,4.193724,174.722,49.717,57.751,11.087,0.214247,train,SYNTHETIC
wh-0168,heat_pump,4.672825,265.63,50.091,58.278,6.693,0.365993,train,SYNTHETIC
wh-0169,electric_resistance,4.000591,219.091,48.533,58.663,8.495,0.181172,train,SYNTHETIC
wh-0170,heat_pump,4.474375,233.092,48.774,60.376,5.925,0.339305,train,SYNTHETIC
wh-0171,heat_pump,4.063463,287.051,49.97,60.811,4.249,0.221096,train,SYNTHETIC
wh-0172,heat_pump,3.814963,281.09,50.739,57.087,6.817,0.295995,train,SYNTHETIC
wh-0173,heat_pump,3.95573,239.365,49.327,57.218,5.284,0.188365,train,SYNTHETIC
wh-0174,heat_pump,4.75206,228.777,48.877,57.124,5.32,0.183071,train,SYNTHETIC
wh-0175,electric_resistance,4.624992,257.626,48.335,60.023,7.529,0.287454,train,SYNTHETIC
wh-0176,electric_resistance,5.285744,158.149,48.867,60.523,8.673,0.210583,train,SYNTHETIC
wh-0177,electric_resistance,4.819902,211.274,50.72,57.097,11.849,0.204573,train,SYNTHETIC
wh-0178,electric_resistance,5.173989,200.963,50.393,57.204,10.426,0.290529,train,SYNTHETIC
wh-0179,heat_pump,3.851557,159.382,50.8,60.182,6.589,0.290154,train,SYNTHETIC
wh-0180,heat_pump,4.297172,185.245,50.597,57.195,4.624,0.191993,train,SYNTHETIC
wh-0181,heat_pump,4.37569,295.316,50.649,58.72,6.613,0.181867,train,SYNTHETIC
wh-0182,electric_resistance,4.138566,232.91,48.688,57.154,10.029,0.218649,train,SYNTHETIC
wh-0183,heat_pump,4.088625,208.74,48.175,59.044,6.139,0.268424,train,SYNTHETIC
wh-0184,heat_pump,4.235803,214.262,50.588,59.842,5.42,0.321733,train,SYNTHETIC
wh-0185,heat_pump,4.175799,265.91,49.646,57.436,4.796,0.326183,train,SYNTHETIC
wh-0186,heat_pump,4.125281,281.945,48.423,60.558,6.844,0.323701,train,SYNTHETIC
wh-0187,electric_resistance,4.230024,171.964,48.748,60.473,8.553,0.231749,train,SYNTHETIC
wh-0188,heat_pump,4.18843,294.121,50.558,58.728,6.485,0.290328,train,SYNTHETIC
wh-0189,electric_resistance,4.468105,223.545,48.16,58.642,9.535,0.1703,train,SYNTHETIC
wh-0190,heat_pump,4.689473,275.14,49.007,60.352,6.652,0.211344,train,SYNTHETIC
wh-0191,electric_resistance,4.606697,250.819,49.818,59.488,7.578,0.287353,train,SYNTHETIC
wh-0192,heat_pump,4.563606,222.591,49.454,60.367,4.873,0.363946,train,SYNTHETIC
wh-0193,electric_resistance,4.832202,242.087,50.297,58.039,11.416,0.295399,train,SYNTHETIC
wh-0194,electric_resistance,4.262737,278.612,48.771,60.725,8.03,0.164409,train,SYNTHETIC
wh-0195,heat_pump,4.369925,247.246,50.153,57.186,6.941,0.208139,train,SYNTHETIC
wh-0196,heat_pump,4.439892,295.301,49.689,58.831,6.435,0.29508,train,SYNTHETIC
wh-0197,heat_pump,4.995297,235.055,48.852,59.107,6.72,0.31254,train,SYNTHETIC
wh-0198,electric_resistance,4.519573,265.875,49.923,59.809,7.543,0.290725,train,SYNTHETIC
wh-0199,electric_resistance,4.954948,262.157,49.547,60.259,7.734,0.239903,train,SYNTHETIC
wh-0200,heat_pump,4.727754,225.581,48.814,58.658,5.387,0.252991,train,SYNTHETIC
wh-0201,heat_pump,4.615262,286.692,49.347,58.419,6.565,0.322952,train,SYNTHETIC
wh-0202,heat_pump,4.749239,184.937,50.442,59.957,6.6,0.375293,train,SYNTHETIC
wh-0203,heat_pump,4.140465,202.631,50.976,58.97,4.954,0.262545,train,SYNTHETIC
wh-0204,heat_pump,4.045698,172.527,50.23,58.714,4.336,0.210195,train,SYNTHETIC
wh-0205,electric_resistance,4.710326,267.181,48.478,57.306,9.374,0.244182,train,SYNTHETIC
wh-0206,heat_pump,4.44139,234.419,50.18,60.099,6.523,0.331321,train,SYNTHETIC
wh-0207,electric_resistance,4.382676,203.068,48.448,60.222,8.322,0.150079,train,SYNTHETIC
wh-0208,electric_resistance,5.041659,151.886,48.358,57.65,11.889,0.207347,train,SYNTHETIC
wh-0209,heat_pump,3.932271,206.548,48.704,57.114,6.965,0.310733,train,SYNTHETIC
wh-0210,heat_pump,4.04678,221.758,50.839,59.855,6.532,0.354847,train,SYNTHETIC
wh-0211,electric_resistance,4.754558,233.928,48.192,57.964,8.403,0.259468,train,SYNTHETIC
wh-0212,heat_pump,4.685362,268.647,50.353,59.051,6.315,0.232133,train,SYNTHETIC
wh-0213,heat_pump,3.861697,156.236,48.102,58.282,4.039,0.262839,train,SYNTHETIC
wh-0214,electric_resistance,5.149137,281.927,48.133,60.522,8.741,0.193571,train,SYNTHETIC
wh-0215,electric_resistance,4.365288,223.539,50.084,58.227,7.648,0.296734,train,SYNTHETIC
wh-0216,heat_pump,4.051571,259.359,49.647,57.246,5.068,0.183664,train,SYNTHETIC
wh-0217,heat_pump,4.221372,258.674,49.942,60.504,5.676,0.339044,train,SYNTHETIC
wh-0218,electric_resistance,4.950262,228.005,48.241,58.273,7.448,0.187393,train,SYNTHETIC
wh-0219,heat_pump,3.827136,164.253,50.294,57.454,5.165,0.289584,train,SYNTHETIC
wh-0220,heat_pump,4.147296,217.441,48.21,59.064,5.094,0.342256,train,SYNTHETIC
wh-0221,electric_resistance,4.686524,263.485,50.384,59.126,7.1,0.179459,train,SYNTHETIC
wh-0222,electric_resistance,5.377503,206.703,48.46,58.373,8.451,0.21968,train,SYNTHETIC
wh-0223,electric_resistance,4.881535,179.777,48.516,59.246,8.807,0.25864,train,SYNTHETIC
wh-0224,heat_pump,4.715877,255.99,50.351,59.638,4.472,0.373006,train,SYNTHETIC
wh-0225,heat_pump,4.925434,209.32,49.29,58.215,4.727,0.306642,train,SYNTHETIC
wh-0226,heat_pump,4.654885,173.473,50.703,58.457,5.863,0.257538,train,SYNTHETIC
wh-0227,electric_resistance,4.66166,291.298,48.316,60.988,9.114,0.152874,train,SYNTHETIC
wh-0228,heat_pump,4.865508,215.581,49.388,60.025,5.105,0.379556,train,SYNTHETIC
wh-0229,heat_pump,4.369006,211.2,49.986,60.518,6.576,0.372796,train,SYNTHETIC
wh-0230,heat_pump,4.813697,235.375,49.374,60.158,5.003,0.341732,train,SYNTHETIC
wh-0231,heat_pump,3.974981,192.49,49.659,60.801,6.982,0.342175,train,SYNTHETIC
wh-0232,heat_pump,4.341644,248.179,50.629,57.822,4.695,0.270209,train,SYNTHETIC
wh-0233,electric_resistance,4.302718,259.902,50.321,60.513,9.882,0.151521,train,SYNTHETIC
wh-0234,heat_pump,4.475679,171.719,48.972,58.597,6.869,0.31415,train,SYNTHETIC
wh-0235,electric_resistance,4.85006,183.311,50.619,60.94,8.157,0.262461,train,SYNTHETIC
wh-0236,heat_pump,4.107592,197.391,50.971,58.939,6.476,0.277534,train,SYNTHETIC
wh-0237,heat_pump,4.46124,273.523,49.715,58.809,6.922,0.312034,train,SYNTHETIC
wh-0238,heat_pump,4.523632,185.516,50.546,60.532,4.33,0.20672,train,SYNTHETIC
wh-0239,heat_pump,4.710827,221.61,50.024,60.31,5.407,0.202644,train,SYNTHETIC
wh-0240,heat_pump,4.645687,164.49,49.516,57.291,4.309,0.331076,train,SYNTHETIC
wh-0241,heat_pump,4.489594,278.542,50.281,60.586,6.651,0.325296,train,SYNTHETIC
wh-0242,heat_pump,4.448109,247.344,49.251,57.512,5.332,0.3289,train,SYNTHETIC
wh-0243,heat_pump,4.142281,239.228,49.194,58.038,5.653,0.306936,train,SYNTHETIC
wh-0244,heat_pump,4.518115,153.306,49.942,60.623,6.214,0.193521,train,SYNTHETIC
wh-0245,electric_resistance,4.186012,191.263,49.441,60.666,7.057,0.200875,train,SYNTHETIC
wh-0246,heat_pump,3.956733,152.257,49.023,57.562,4.883,0.358503,train,SYNTHETIC
wh-0247,electric_resistance,4.400415,159.506,48.472,59.187,7.489,0.258489,train,SYNTHETIC
wh-0248,heat_pump,4.8152,159.625,50.162,57.623,6.189,0.343621,train,SYNTHETIC
wh-0249,heat_pump,4.006079,161.361,50.783,59.901,5.638,0.235259,train,SYNTHETIC
wh-0250,electric_resistance,4.066851,295.577,49.843,60.873,11.04,0.220304,train,SYNTHETIC
wh-0251,electric_resistance,4.627362,241.068,49.066,57.584,10.221,0.243693,train,SYNTHETIC
wh-0252,heat_pump,4.677785,167.825,50.235,57.911,4.664,0.354169,train,SYNTHETIC
wh-0253,heat_pump,4.441226,255.803,50.547,57.97,6.071,0.190414,train,SYNTHETIC
wh-0254,electric_resistance,5.176123,297.91,49.518,58.955,10.414,0.229903,train,SYNTHETIC
wh-0255,electric_resistance,4.051429,274.687,49.692,57.722,7.416,0.167721,train,SYNTHETIC
wh-0256,electric_resistance,5.101039,274.28,48.034,57.254,9.853,0.170248,train,SYNTHETIC
wh-0257,heat_pump,3.918229,253.999,48.254,58.393,5.2,0.237355,train,SYNTHETIC
wh-0258,electric_resistance,4.060808,238.941,50.462,57.676,7.301,0.125562,train,SYNTHETIC
wh-0259,heat_pump,4.502973,150.408,48.411,60.235,4.484,0.353351,train,SYNTHETIC
wh-0260,heat_pump,3.952199,293.863,50.937,59.642,5.507,0.367838,train,SYNTHETIC
wh-0261,electric_resistance,4.583619,249.576,48.288,59.409,10.349,0.128657,train,SYNTHETIC
wh-0262,heat_pump,4.556189,152.257,50.257,58.253,5.713,0.272739,train,SYNTHETIC
wh-0263,heat_pump,4.821074,209.702,50.637,59.067,6.944,0.284938,train,SYNTHETIC
wh-0264,heat_pump,4.368138,189.654,49.32,58.12,6.395,0.25038,train,SYNTHETIC
wh-0265,electric_resistance,5.010114,154.261,50.305,60.234,11.267,0.239319,train,SYNTHETIC
wh-0266,electric_resistance,4.582989,186.919,49.253,60.151,10.151,0.297482,train,SYNTHETIC
wh-0267,electric_resistance,4.911227,168.902,50.522,59.525,9.358,0.239716,train,SYNTHETIC
wh-0268,heat_pump,3.808535,230.776,49.791,59.97,6.924,0.370812,train,SYNTHETIC
wh-0269,heat_pump,4.576137,175.043,48.242,57.844,5.277,0.215328,train,SYNTHETIC
wh-0270,electric_resistance,4.157693,178.949,50.915,59.024,10.694,0.196121,train,SYNTHETIC
wh-0271,heat_pump,3.848362,250.761,50.333,59.548,4.819,0.304816,train,SYNTHETIC
wh-0272,electric_resistance,5.30931,203.266,49.488,58.797,10.84,0.225238,train,SYNTHETIC
wh-0273,electric_resistance,4.686782,191.966,48.836,59.211,11.586,0.26972,train,SYNTHETIC
wh-0274,heat_pump,3.93529,164.614,50.97,58.278,4.946,0.201718,train,SYNTHETIC
wh-0275,electric_resistance,5.490144,242.419,50.178,60.429,9.275,0.293432,train,SYNTHETIC
wh-0276,electric_resistance,4.843796,238.817,50.159,58.429,8.166,0.201925,train,SYNTHETIC
wh-0277,heat_pump,3.908088,270.295,48.517,58.181,4.308,0.298811,train,SYNTHETIC
wh-0278,electric_resistance,5.016465,175.975,50.777,58.694,11.597,0.158388,train,SYNTHETIC
wh-0279,heat_pump,3.92226,239.95,48.374,59.74,4.479,0.361352,train,SYNTHETIC
wh-0280,heat_pump,4.277354,229.014,49.463,58.835,5.456,0.293076,train,SYNTHETIC
