resource_id,event_timestamp,dataset_split,heater_type_heat_pump,rated_power_kw,tank_capacity_l,minimum_comfort_temp_c,maximum_temp_c,temperature_band_c,recovery_rate_c_per_hour,baseline_duty_cycle,event_hour,event_weekday,flex_direction_reduce,pre_dispatch_temp_c,pre_dispatch_power_kw,directional_temperature_margin_c,directional_temperature_margin_fraction,potential_kw,prior_event_count,prior_response_ratio_mean,prior_response_ratio_ema,prior_response_ratio_std,prior_delivered_kw_mean,prior_availability_rate,prior_override_rate,target_delivered_kw,target_response_ratio,target_is_available,target_has_override,target_outcome,target_hot_water_draw_l
wh-0001,2025-08-20T18:45:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,18.75,2,1,56.027,3.105975,5.817,0.773229,3.105975,10,0.397098,0.439453,0.320942,1.157859,0.9,0.4,2.782308,0.895792,1,0,delivered,34.471
wh-0001,2025-08-28T18:15:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,18.25,3,1,53.992,2.799064,3.782,0.502725,2.799064,11,0.442434,0.599171,0.337924,1.305536,0.909091,0.363636,2.160594,0.771899,1,0,partial,22.007
wh-0001,2025-08-30T08:30:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,8.5,5,1,54.737,2.866485,4.527,0.601755,2.866485,12,0.469889,0.659626,0.336108,1.376791,0.916667,0.333333,2.336458,0.815095,1,0,delivered,16.492
wh-0001,2025-09-07T12:15:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,12.25,6,1,55.198,3.788526,4.988,0.663033,3.788526,13,0.496443,0.71404,0.335768,1.450611,0.923077,0.307692,0.081157,0.021422,1,1,override,0.0
wh-0001,2025-09-11T17:15:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,17.25,3,0,53.035,0.607492,4.698,0.624485,3.245048,14,0.462513,0.471624,0.34591,1.352793,0.928571,0.357143,0.107429,0.033106,0,0,unavailable,4.013
wh-0001,2025-09-20T17:30:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,17.5,5,1,51.825,2.965585,1.615,0.214675,2.965585,15,0.433886,0.318143,0.350927,1.269769,0.866667,0.333333,0.122789,0.041405,0,1,unavailable,19.6
wh-0001,2025-09-23T17:00:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,17.0,1,1,50.457,2.710209,0.247,0.032833,2.710209,16,0.409356,0.221284,0.352816,1.198083,0.8125,0.375,2.205555,0.813795,1,0,delivered,20.683
wh-0001,2025-10-02T12:30:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,12.5,3,1,55.368,3.364471,5.158,0.685631,3.364471,17,0.433147,0.428663,0.355264,1.257346,0.823529,0.352941,2.779359,0.826091,1,0,delivered,21.709
wh-0001,2025-10-05T07:00:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,7.0,6,1,54.412,2.614502,4.202,0.558554,2.614502,18,0.454977,0.567763,0.356794,1.341902,0.833333,0.333333,0.157172,0.060116,0,1,unavailable,22.047
wh-0001,2025-10-15T18:30:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,18.5,2,1,54.615,2.823535,4.405,0.585538,2.823535,19,0.434195,0.390086,0.358296,1.279548,0.789474,0.368421,2.725456,0.965264,1,0,delivered,5.624
wh-0001,2025-10-18T12:30:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,12.5,5,1,51.567,3.583302,1.357,0.18038,3.583302,20,0.460748,0.591399,0.367905,1.351843,0.8,0.35,0.241624,0.06743,0,0,unavailable,16.126
wh-0001,2025-10-27T07:15:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,7.25,0,1,51.297,2.234959,1.087,0.14449,2.234959,21,0.442019,0.40801,0.368679,1.298976,0.761905,0.333333,1.538702,0.68847,1,0,partial,6.669
wh-0001,2025-10-30T18:00:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,18.0,3,1,51.647,3.010077,1.437,0.191014,3.010077,22,0.453221,0.506171,0.363843,1.309872,0.772727,0.318182,0.053946,0.017922,0,0,unavailable,16.565
wh-0001,2025-11-05T18:45:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,18.75,2,0,54.369,0.283299,3.364,0.447162,3.569241,23,0.434295,0.335284,0.366751,1.255267,0.73913,0.304348,1.044964,0.292769,1,1,override,0.592
wh-0001,2025-11-10T19:45:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,19.75,0,1,54.126,2.553624,3.916,0.520537,2.553624,24,0.428398,0.320404,0.360141,1.246504,0.75,0.333333,1.757044,0.688059,1,0,partial,0.0
wh-0001,2025-11-20T07:30:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,7.5,3,1,54.864,3.552283,4.654,0.618636,3.552283,25,0.438785,0.449083,0.356514,1.266926,0.76,0.32,0.216385,0.060914,1,1,override,39.384
wh-0001,2025-11-23T07:45:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,7.75,6,1,54.478,2.327593,4.268,0.567327,2.327593,26,0.424251,0.313224,0.357064,1.22652,0.769231,0.346154,0.133528,0.057367,1,1,override,6.427
wh-0001,2025-11-29T21:30:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,21.5,5,1,52.076,2.270294,1.866,0.248039,2.270294,27,0.410663,0.223674,0.357174,1.186039,0.777778,0.37037,0.037813,0.016655,0,1,unavailable,21.418
wh-0001,2025-12-06T07:15:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,7.25,5,1,55.571,3.490507,5.361,0.712615,3.490507,28,0.396591,0.151217,0.358278,1.145031,0.75,0.392857,3.108861,0.890662,1,0,delivered,21.239
wh-0001,2025-12-14T08:15:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,8.25,6,1,49.112,3.395262,0.0,0.0,3.395262,29,0.413628,0.410023,0.363406,1.212749,0.758621,0.37931,2.59835,0.765287,1,0,partial,16.45
wh-0002,2025-06-22T19:00:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,19.0,6,1,53.874,2.55528,4.63,0.577091,2.55528,0,,,,,,,1.899898,0.743518,1,0,partial,39.721
wh-0002,2025-06-26T08:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,8.75,3,1,54.324,4.310306,5.08,0.63318,4.310306,1,0.743518,0.743518,,1.899898,1.0,0.0,0.207887,0.04823,0,0,unavailable,19.218
wh-0002,2025-07-02T20:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,20.75,2,1,50.415,2.90452,1.171,0.145955,2.90452,2,0.395874,0.500167,0.347644,1.053893,0.5,0.0,0.449227,0.154665,1,1,override,21.564
wh-0002,2025-07-09T12:15:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,12.25,2,0,52.925,0.074681,4.342,0.541194,4.35661,3,0.315471,0.379241,0.305778,0.852337,0.666667,0.333333,3.545445,0.813808,1,0,delivered,7.329
wh-0002,2025-07-16T07:00:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,7.0,2,1,49.813,3.146245,0.569,0.070921,3.146245,4,0.440055,0.53134,0.341597,1.525614,0.75,0.25,0.165467,0.052592,1,1,override,11.147
wh-0002,2025-07-23T06:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,6.75,2,0,53.656,0.397375,3.611,0.450081,4.033916,5,0.362563,0.363778,0.342595,1.253585,0.8,0.4,0.817068,0.20255,1,1,override,43.625
wh-0002,2025-07-29T07:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,7.75,1,1,51.503,2.605471,2.259,0.281565,2.605471,6,0.335894,0.307348,0.31838,1.180832,0.833333,0.5,1.84395,0.707722,1,0,partial,0.0
wh-0002,2025-08-04T12:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,12.75,0,1,53.385,3.075821,4.141,0.516141,3.075821,7,0.389012,0.447479,0.322202,1.275563,0.857143,0.428571,0.05663,0.018411,0,1,unavailable,15.351
wh-0002,2025-08-07T07:00:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,7.0,3,1,55.368,2.896486,6.124,0.763305,2.896486,8,0.342687,0.297305,0.325361,1.123196,0.75,0.5,0.177823,0.061393,0,1,unavailable,33.885
wh-0002,2025-08-12T19:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,19.75,1,1,55.197,3.896957,5.953,0.741992,3.896957,9,0.311432,0.214736,0.319237,1.018155,0.666667,0.555556,3.510102,0.900729,1,0,delivered,18.413
wh-0002,2025-08-21T06:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,6.75,3,0,50.417,0.93937,6.85,0.853795,3.491921,10,0.370362,0.454834,0.350679,1.26735,0.7,0.5,1.002105,0.286978,1,1,override,21.742
wh-0002,2025-08-25T18:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,18.75,0,1,52.128,3.725855,2.884,0.359467,3.725855,11,0.362781,0.396084,0.335217,1.243237,0.727273,0.545455,0.813874,0.218439,1,1,override,19.183
wh-0002,2025-09-03T12:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,12.75,2,1,54.099,2.607176,4.855,0.605135,2.607176,12,0.350753,0.333908,0.323416,1.207456,0.75,0.583333,0.537881,0.206308,1,1,override,6.156
wh-0002,2025-09-09T18:00:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,18.0,1,1,51.132,3.576222,1.888,0.235323,3.576222,13,0.339642,0.289248,0.313103,1.155951,0.769231,0.615385,0.01908,0.005335,0,0,unavailable,25.635
wh-0002,2025-09-12T08:30:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,8.5,4,1,54.276,4.080961,5.032,0.627197,4.080961,14,0.315763,0.189879,0.313757,1.074745,0.714286,0.571429,3.58204,0.877744,1,0,delivered,24.627
wh-0002,2025-09-17T18:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,18.75,2,1,51.183,2.6555,1.939,0.24168,2.6555,15,0.353228,0.430631,0.333964,1.241898,0.733333,0.533333,1.690909,0.636757,1,0,partial,28.097
wh-0002,2025-09-27T17:30:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,17.5,5,0,54.952,0.093429,2.315,0.288545,4.337862,16,0.370949,0.502775,0.330562,1.269962,0.75,0.5,0.291006,0.067085,0,1,unavailable,10.361
wh-0002,2025-10-02T12:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,12.75,3,1,49.189,4.191181,0.0,0.0,4.191181,17,0.353074,0.350284,0.328566,1.212376,0.705882,0.529412,0.075816,0.018089,0,1,unavailable,10.772
wh-0002,2025-10-05T08:30:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,8.5,6,1,53.345,2.838346,4.101,0.511155,2.838346,18,0.334464,0.234016,0.328399,1.149234,0.666667,0.555556,0.469916,0.16556,1,1,override,18.448
wh-0002,2025-10-14T18:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,18.75,1,0,48.591,0.04546,8.676,1.0,4.385831,19,0.325574,0.210056,0.321858,1.11348,0.684211,0.578947,0.681373,0.155358,1,1,override,7.799
wh-0002,2025-10-19T20:30:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,20.5,6,0,54.443,0.917329,2.824,0.351988,3.513962,20,0.317064,0.190912,0.315894,1.091875,0.7,0.6,0.060738,0.017285,0,0,unavailable,26.835
wh-0002,2025-10-23T18:15:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,18.25,3,1,53.77,3.06236,4.526,0.564128,3.06236,21,0.302788,0.130142,0.314822,1.042773,0.666667,0.571429,0.387862,0.126655,1,1,override,34.986
wh-0002,2025-11-01T19:00:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,19.0,5,1,51.564,3.18515,2.32,0.289169,3.18515,22,0.294782,0.128922,0.309764,1.013004,0.681818,0.590909,0.071749,0.022526,0,1,unavailable,19.142
wh-0002,2025-11-06T18:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,18.75,3,1,52.643,2.98757,3.399,0.423657,2.98757,23,0.282945,0.091683,0.308001,0.97208,0.652174,0.608696,2.52235,0.844281,1,0,delivered,14.181
wh-0002,2025-11-14T12:30:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,12.5,4,0,53.977,0.559705,3.29,0.410071,3.871586,24,0.306334,0.355092,0.321704,1.036675,0.666667,0.583333,3.762393,0.971796,1,0,delivered,32.973
wh-0002,2025-11-17T06:45:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,6.75,0,1,54.98,4.082413,5.736,0.714945,4.082413,25,0.332953,0.570939,0.341114,1.145704,0.68,0.56,3.888634,0.952533,1,0,delivered,44.507
wh-0002,2025-11-26T07:30:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,7.5,2,1,55.36,2.86885,6.116,0.762308,2.86885,26,0.356783,0.704497,0.355078,1.251201,0.692308,0.538462,2.664972,0.928934,1,0,delivered,0.0
wh-0002,2025-11-30T06:00:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,6.0,6,1,51.888,4.20441,2.644,0.329553,4.20441,27,0.377973,0.78305,0.36481,1.303563,0.703704,0.518519,0.794389,0.188942,1,1,override,17.473
wh-0002,2025-12-08T07:15:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,7.25,0,1,55.238,2.782552,5.994,0.747102,2.782552,28,0.371222,0.575112,0.359949,1.285378,0.714286,0.535714,0.004188,0.001505,0,0,unavailable,0.0
wh-0002,2025-12-10T06:15:00+05:30,train,1,4.431291,160.82,49.244,57.267,8.023,4.567,0.367478,6.25,2,1,53.297,3.146674,4.053,0.505173,3.146674,29,0.358473,0.37435,0.360065,1.241199,0.689655,0.517241,0.673957,0.214181,1,1,override,9.591
wh-0003,2025-06-23T19:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,19.75,0,1,54.748,3.03872,6.443,0.510741,3.03872,0,,,,,,,0.118657,0.039048,0,1,unavailable,39.068
wh-0003,2025-06-25T07:30:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,7.5,2,0,53.685,0.721057,7.235,0.573524,3.256866,1,0.039048,0.039048,,0.118657,0.0,1.0,2.636673,0.809574,1,0,delivered,7.885
wh-0003,2025-07-03T19:00:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,19.0,3,1,56.607,3.45927,8.302,0.658105,3.45927,2,0.424311,0.308732,0.385263,1.377665,0.5,0.5,2.976381,0.860407,1,0,delivered,21.771
wh-0003,2025-07-07T08:00:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,8.0,0,1,51.619,2.240746,3.314,0.262703,2.240746,3,0.569676,0.501818,0.375784,1.91057,0.666667,0.333333,1.665499,0.743279,1,0,partial,19.053
wh-0003,2025-07-15T08:30:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,8.5,1,1,57.91,2.70727,9.605,0.761395,2.70727,4,0.613077,0.58633,0.334008,1.849303,0.75,0.25,2.392086,0.883579,1,0,delivered,11.194
wh-0003,2025-07-21T18:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,18.75,0,1,57.405,2.344924,9.1,0.721363,2.344924,5,0.667177,0.690367,0.317736,1.957859,0.8,0.2,2.00933,0.856885,1,0,delivered,34.929
wh-0003,2025-07-29T19:00:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,19.0,1,1,59.729,2.490798,11.424,0.905589,2.490798,6,0.698795,0.748648,0.298545,1.966438,0.833333,0.166667,2.490798,1.0,1,0,delivered,7.47
wh-0003,2025-08-02T08:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,8.75,5,0,54.515,0.496494,6.405,0.507729,3.481429,7,0.741825,0.836621,0.295813,2.041346,0.857143,0.142857,3.09788,0.88983,1,0,delivered,0.0
wh-0003,2025-08-07T21:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,21.75,3,1,53.637,3.460024,5.332,0.422671,3.460024,8,0.760325,0.855244,0.281004,2.173413,0.875,0.125,0.978556,0.282818,1,1,override,10.358
wh-0003,2025-08-16T18:15:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,18.25,5,1,52.954,3.697529,4.649,0.36853,3.697529,9,0.707269,0.654895,0.304482,2.040651,0.888889,0.222222,0.383085,0.103606,1,1,override,5.131
wh-0003,2025-08-18T21:15:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,21.25,0,1,53.03,2.970159,4.725,0.374554,2.970159,10,0.646903,0.461944,0.340933,1.874894,0.9,0.3,0.024916,0.008389,0,0,unavailable,34.127
wh-0003,2025-08-27T07:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,7.75,2,1,51.106,2.334656,2.801,0.222037,2.334656,11,0.588856,0.3032,0.373313,1.706715,0.818182,0.272727,0.042154,0.018056,0,1,unavailable,12.63
wh-0003,2025-09-03T07:15:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,7.25,2,1,50.871,3.828134,2.566,0.203409,3.828134,12,0.541289,0.203399,0.390688,1.568001,0.75,0.333333,2.996246,0.782691,1,0,partial,6.98
wh-0003,2025-09-05T07:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,7.75,4,1,52.868,2.733102,4.563,0.361712,2.733102,13,0.559859,0.406151,0.380833,1.677866,0.769231,0.307692,1.742435,0.63753,1,0,partial,7.767
wh-0003,2025-09-13T20:30:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,20.5,5,0,53.804,0.548982,7.116,0.56409,3.428941,14,0.565407,0.487134,0.367525,1.682478,0.785714,0.285714,2.85488,0.832584,1,0,delivered,0.616
wh-0003,2025-09-19T19:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,19.75,4,0,58.966,0.180029,1.954,0.154895,3.797894,15,0.583218,0.608041,0.361263,1.760638,0.8,0.266667,0.054774,0.014422,0,1,unavailable,27.17
wh-0003,2025-09-25T08:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,8.75,3,1,49.977,2.492488,1.672,0.132541,2.492488,16,0.547669,0.400275,0.375914,1.654022,0.75,0.3125,0.665561,0.267027,1,1,override,7.504
wh-0003,2025-10-03T20:30:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,20.5,4,1,55.285,3.868516,6.98,0.55331,3.868516,17,0.53116,0.353638,0.37062,1.595877,0.764706,0.352941,0.383425,0.099114,1,1,override,5.263
wh-0003,2025-10-05T07:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,7.75,6,0,55.666,0.863147,5.254,0.416488,3.114776,18,0.507158,0.264555,0.373526,1.528519,0.777778,0.388889,2.978492,0.956246,1,0,delivered,0.0
wh-0003,2025-10-14T06:30:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,6.5,1,1,53.174,2.609271,4.869,0.385969,2.609271,19,0.530794,0.506647,0.37714,1.604833,0.789474,0.368421,1.642231,0.629383,1,0,partial,4.68
wh-0003,2025-10-21T07:00:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,7.0,1,1,55.88,3.023533,7.575,0.600476,3.023533,20,0.535723,0.549604,0.368218,1.606703,0.8,0.35,0.218132,0.072145,1,1,override,44.372
wh-0003,2025-10-23T06:00:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,6.0,3,0,48.689,0.012423,12.231,0.96956,3.9655,21,0.513648,0.382494,0.372659,1.540581,0.809524,0.380952,3.648931,0.920169,1,0,delivered,20.23
wh-0003,2025-11-02T07:00:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,7.0,6,1,51.037,3.741084,2.732,0.216568,3.741084,22,0.532126,0.57068,0.373808,1.636415,0.818182,0.363636,0.025463,0.006806,0,0,unavailable,22.988
wh-0003,2025-11-08T17:00:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,17.0,5,0,56.531,0.524377,4.389,0.347919,3.453546,23,0.509286,0.373324,0.380964,1.566373,0.782609,0.347826,0.218805,0.063357,1,1,override,8.909
wh-0003,2025-11-14T17:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,17.75,4,1,56.7,3.485352,8.395,0.665478,3.485352,24,0.490706,0.264836,0.383441,1.510225,0.791667,0.375,2.992383,0.85856,1,0,delivered,15.137
wh-0003,2025-11-16T06:15:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,6.25,6,1,54.142,3.965078,5.837,0.462703,3.965078,25,0.50542,0.472639,0.382547,1.569511,0.8,0.36,3.406345,0.859087,1,0,delivered,21.489
wh-0003,2025-11-22T06:00:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,6.0,5,1,57.304,3.862871,8.999,0.713357,3.862871,26,0.519023,0.607896,0.381234,1.640158,0.807692,0.346154,3.002452,0.777259,1,0,partial,14.613
wh-0003,2025-12-02T17:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,17.75,1,0,56.795,0.48706,4.125,0.326992,3.490863,27,0.528587,0.667173,0.377273,1.690614,0.814815,0.333333,2.901209,0.831087,1,0,delivered,20.139
wh-0003,2025-12-06T19:45:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,19.75,5,1,54.141,2.442755,5.836,0.462624,2.442755,28,0.539391,0.724543,0.374703,1.733849,0.821429,0.321429,0.539731,0.220952,1,1,override,11.352
wh-0003,2025-12-13T18:15:00+05:30,train,1,3.977923,278.874,48.305,60.92,12.615,5.239,0.266012,18.25,5,1,57.979,3.56473,9.674,0.766865,3.56473,29,0.52841,0.548286,0.372743,1.692673,0.827586,0.344828,3.190232,0.894944,1,0,delivered,28.691
wh-0004,2025-06-21T18:15:00+05:30,train,1,3.976304,213.967,49.695,60.284,10.589,5.504,0.356079,18.25,5,0,55.759,0.638746,4.525,0.42733,3.337558,0,,,,,,,0.162055,0.048555,0,1,unavailable,31.632
wh-0004,2025-06-28T07:30:00+05:30,train,1,3.976304,213.967,49.695,60.284,10.589,5.504,0.356079,7.5,5,1,57.486,2.99432,7.791,0.735764,2.99432,1,0.048555,0.048555,,0.162055,0.0,1.0,0.148422,0.049568,0,0,unavailable,7.205
wh-0004,2025-07-05T20:15:00+05:30,train,1,3.976304,213.967,49.695,60.284,10.589,5.504,0.356079,20.25,5,0,56.989,0.320697,3.295,0.311172,3.655607,2,0.049062,0.04891,0.000507,0.155239,0.0,0.5,2.292026,0.626989,1,0,partial,0.0
wh-0004,2025-07-07T19:45:00+05:30,train,1,3.976304,213.967,49.695,60.284,10.589,5.504,0.356079,19.75,0,1,54.542,3.394213,4.847,0.457739,3.394213,3,0.241704,0.251237,0.272438,0.867501,0.333333,0.333333,0.233166,0.068695,0,1,unavailable,27.004
wh-0004,2025-07-15T18:15:00+05:30,train,1,3.976304,213.967,49.695,60.284,10.589,5.504,0.356079,18.25,1,0,54.424,0.661371,5.86,0.553404,3.314933,4,0.198452,0.187348,0.247546,0.708917,0.25,0.5,2.18913,0.660384,1,0,partial,21.521
