id,type,location_id,rated_power_kw,earliest_start,latest_end,required_kwh,minimum_kwh,maximum_kwh,minimum_duration,maximum_duration,deadline,min_power,max_power,override_rate,availability_rate,state,battery_capacity_kwh,arrival_soc_pct,target_soc_pct,dataset_split,acn_source_session
ev_0011,ev,simulation_feeder_01,22.0,2026-01-15T19:45:00+05:30,2026-01-15T20:00:00+05:30,5.5,4.4,5.5,15,15,2026-01-15T20:00:00+05:30,1.4,22.0,0.1152,0.9122,available,87.44,19.3,25.6,train,time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-08-15T14-21-42-065007.csv.gz
ev_0012,ev,simulation_feeder_02,7.03,2026-01-15T07:45:00+05:30,2026-01-15T21:07:17+05:30,30.423,24.338,73.14,15,802,2026-01-15T21:07:17+05:30,1.4,7.03,0.1107,0.8653,available,73.14,28.1,69.7,train,time series data/caltech/California_Garage_01/2-39-78-366-2018-10-11T02-25-46-510829.csv.gz
ev_0013,ev,simulation_feeder_03,1.72,2026-01-15T22:30:00+05:30,2026-01-16T03:50:47+05:30,0.881,0.705,9.196,15,320,2026-01-16T03:50:47+05:30,1.4,1.72,0.0356,0.9506,available,68.58,88.2,89.5,train,time series data/caltech/California_Garage_01/2-39-78-361-2019-11-11T17-10-00-690878.csv.gz
ev_0014,ev,simulation_feeder_04,6.42,2026-01-15T19:15:00+05:30,2026-01-16T01:23:50+05:30,12.337,9.87,39.465,15,368,2026-01-16T01:23:50+05:30,1.4,6.42,0.0837,0.9014,available,66.69,21.0,39.5,train,time series data/caltech/California_Garage_02/2-6-3-1363-2019-06-19T13-55-44-629093.csv.gz
ev_0015,ev,simulation_feeder_05,3.38,2026-01-15T20:30:00+05:30,2026-01-16T06:35:32+05:30,14.149,11.319,34.112,15,605,2026-01-16T06:35:32+05:30,1.4,3.38,0.1373,0.959,available,61.12,14.7,37.8,train,time series data/caltech/California_Garage_02/2-6-3-1364-2018-12-04T15-06-42-153956.csv.gz
ev_0016,ev,simulation_feeder_06,7.11,2026-01-15T20:30:00+05:30,2026-01-16T05:05:35+05:30,6.551,5.241,61.097,15,515,2026-01-16T05:05:35+05:30,1.4,7.11,0.0759,0.9678,available,69.1,25.1,34.6,train,time series data/caltech/California_Garage_01/2-39-95-444-2018-08-10T15-01-17-144729.csv.gz
ev_0017,ev,simulation_feeder_07,22.0,2026-01-15T07:15:00+05:30,2026-01-15T07:48:32.688363+05:30,12.3,9.84,12.3,15,33,2026-01-15T07:48:32.688363+05:30,1.4,22.0,0.0693,0.9806,available,58.91,29.3,50.2,train,time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-06-20T01-51-56-754893.csv.gz
ev_0018,ev,simulation_feeder_08,6.57,2026-01-15T04:15:00+05:30,2026-01-15T10:14:59+05:30,10.748,8.598,39.418,15,359,2026-01-15T10:14:59+05:30,1.4,6.57,0.0595,0.9234,available,77.56,30.1,44.0,train,time series data/caltech/California_Garage_01/2-39-128-18-2018-07-11T22-57-32-041861.csv.gz
ev_0019,ev,simulation_feeder_09,1.66,2026-01-15T01:00:00+05:30,2026-01-15T01:15:00+05:30,0.389,0.311,0.415,15,15,2026-01-15T01:15:00+05:30,1.4,1.66,0.2114,0.9519,available,84.39,86.4,86.9,train,time series data/caltech/California_Garage_01/2-39-128-18-2020-01-28T19-40-17-018191.csv.gz
ev_0020,ev,simulation_feeder_10,6.05,2026-01-15T21:00:00+05:30,2026-01-16T05:47:25+05:30,2.149,1.719,50.51,15,527,2026-01-16T05:47:25+05:30,1.4,6.05,0.0399,0.9362,available,50.51,34.8,39.1,train,time series data/caltech/California_Garage_02/2-6-3-1360-2019-09-09T15-32-07-139103.csv.gz
ev_0021,ev,simulation_feeder_01,11.18,2026-01-15T13:00:00+05:30,2026-01-15T19:42:44+05:30,26.656,21.325,75.043,15,402,2026-01-15T19:42:44+05:30,1.4,11.18,0.0344,0.9526,available,77.39,48.1,82.5,train,time series data/caltech/California_Garage_02/2-6-3-1629-2019-08-16T07-33-55-588718.csv.gz
ev_0022,ev,simulation_feeder_02,3.19,2026-01-15T20:00:00+05:30,2026-01-16T00:23:06+05:30,5.987,4.79,13.988,15,263,2026-01-16T00:23:06+05:30,1.4,3.19,0.1598,0.9375,available,46.89,61.3,74.1,train,time series data/jpl/Arroyo_Garage_01/1-1-194-822-2020-10-19T14-43-27-948048.csv.gz
ev_0023,ev,simulation_feeder_03,6.14,2026-01-15T23:45:00+05:30,2026-01-16T04:18:45+05:30,15.033,12.026,28.014,15,273,2026-01-16T04:18:45+05:30,1.4,6.14,0.1946,0.8867,available,50.39,50.9,80.7,train,time series data/jpl/Arroyo_Garage_01/1-1-191-782-2020-08-27T18-15-58-217971.csv.gz
ev_0024,ev,simulation_feeder_04,6.6,2026-01-15T04:30:00+05:30,2026-01-16T23:14:24+05:30,44.054,35.243,83.87,15,2564,2026-01-16T23:14:24+05:30,1.4,6.6,0.0886,0.9763,available,83.87,28.1,80.6,train,time series data/office_01/Parking_Lot_01/19-102-260-1640-2020-09-01T23-12-59-216951.csv.gz
ev_0025,ev,simulation_feeder_05,6.12,2026-01-15T21:15:00+05:30,2026-01-16T03:14:44+05:30,13.882,11.106,36.693,15,359,2026-01-16T03:14:44+05:30,1.4,6.12,0.1221,0.8625,available,84.52,53.5,69.9,train,time series data/caltech/California_Garage_01/2-39-90-440-2018-09-26T15-57-47-553856.csv.gz
ev_0026,ev,simulation_feeder_06,6.64,2026-01-15T01:45:00+05:30,2026-01-15T05:31:55+05:30,0.868,0.694,25.112,15,226,2026-01-15T05:31:55+05:30,1.4,6.64,0.1835,0.9392,available,45.11,55.3,57.2,train,time series data/office_01/Parking_Lot_01/19-102-260-1635-2019-11-04T20-20-42-588226.csv.gz
ev_0027,ev,simulation_feeder_07,22.0,2026-01-15T17:30:00+05:30,2026-01-15T17:45:00+05:30,3.805,3.044,5.5,15,15,2026-01-15T17:45:00+05:30,1.4,22.0,0.068,0.9363,available,87.34,67.7,72.1,train,time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-08-30T12-14-05-751509.csv.gz
ev_0028,ev,simulation_feeder_08,7.24,2026-01-15T00:30:00+05:30,2026-01-15T01:05:35+05:30,4.091,3.273,4.294,15,35,2026-01-15T01:05:35+05:30,1.4,7.24,0.2016,0.9449,available,80.54,18.6,23.7,train,time series data/caltech/California_Garage_02/2-6-3-1632-2020-03-29T19-02-13-561059.csv.gz
ev_0029,ev,simulation_feeder_09,6.88,2026-01-15T20:45:00+05:30,2026-01-16T06:30:08+05:30,10.441,8.353,50.57,15,585,2026-01-16T06:30:08+05:30,1.4,6.88,0.2117,0.8932,available,50.57,48.8,69.4,train,time series data/caltech/California_Garage_01/2-39-139-28-2020-03-04T15-19-12-758016.csv.gz
ev_0030,ev,simulation_feeder_10,3.58,2026-01-15T21:00:00+05:30,2026-01-16T05:55:57+05:30,4.127,3.302,31.978,15,535,2026-01-16T05:55:57+05:30,1.4,3.58,0.0737,0.9522,available,40.07,17.1,27.4,train,time series data/caltech/California_Garage_01/2-39-127-19-2018-06-06T15-34-47-862149.csv.gz
ev_0031,ev,simulation_feeder_01,6.45,2026-01-15T18:30:00+05:30,2026-01-15T22:16:09+05:30,23.332,18.666,24.311,15,226,2026-01-15T22:16:09+05:30,1.4,6.45,0.023,0.9561,available,35.0,19.6,86.3,train,time series data/jpl/Arroyo_Garage_01/1-1-179-799-2020-10-07T13-10-30-444817.csv.gz
ev_0032,ev,simulation_feeder_02,6.3,2026-01-15T08:15:00+05:30,2026-01-15T10:03:12+05:30,7.654,6.123,11.361,15,108,2026-01-15T10:03:12+05:30,1.4,6.3,0.0929,0.9722,available,65.19,24.4,36.1,train,time series data/caltech/California_Garage_01/2-39-79-378-2018-08-30T02-52-55-068483.csv.gz
ev_0033,ev,simulation_feeder_03,17.32,2026-01-15T20:30:00+05:30,2026-01-16T07:26:37+05:30,10.738,8.59,81.74,15,656,2026-01-16T07:26:37+05:30,1.4,17.32,0.1804,0.9226,available,81.74,70.2,83.3,train,time series data/caltech/California_Garage_02/2-6-3-1629-2019-10-03T15-09-08-011204.csv.gz
ev_0034,ev,simulation_feeder_04,6.47,2026-01-15T14:45:00+05:30,2026-01-15T22:29:02+05:30,12.121,9.697,47.7,15,464,2026-01-15T22:29:02+05:30,1.4,6.47,0.1622,0.9336,available,47.7,24.3,49.7,train,time series data/caltech/California_Garage_02/2-6-3-1360-2019-09-22T09-25-17-582063.csv.gz
ev_0035,ev,simulation_feeder_05,3.34,2026-01-15T21:15:00+05:30,2026-01-16T05:19:09+05:30,5.715,4.572,26.951,15,484,2026-01-16T05:19:09+05:30,1.4,3.34,0.1683,0.9573,available,59.09,78.1,87.8,train,time series data/caltech/California_Garage_02/2-6-3-1367-2019-06-03T15-47-20-195229.csv.gz
ev_0036,ev,simulation_feeder_06,2.31,2026-01-15T22:15:00+05:30,2026-01-16T06:06:34+05:30,1.426,1.141,18.155,15,471,2026-01-16T06:06:34+05:30,1.4,2.31,0.0549,0.9245,available,46.9,65.1,68.1,train,time series data/caltech/California_Garage_01/2-39-91-437-2019-06-13T16-58-36-495751.csv.gz
ev_0037,ev,simulation_feeder_07,3.8,2026-01-15T21:45:00+05:30,2026-01-15T22:00:00+05:30,0.061,0.049,0.95,15,15,2026-01-15T22:00:00+05:30,1.4,3.8,0.0348,0.9535,available,87.04,64.1,64.2,train,time series data/caltech/California_Garage_01/2-39-79-379-2018-11-13T16-23-20-936638.csv.gz
ev_0038,ev,simulation_feeder_08,6.78,2026-01-15T21:00:00+05:30,2026-01-15T21:15:00+05:30,1.01,0.808,1.695,15,15,2026-01-15T21:15:00+05:30,1.4,6.78,0.1004,0.9119,available,55.7,37.2,39.0,train,time series data/caltech/California_Garage_01/2-39-78-361-2019-09-16T15-34-59-884568.csv.gz
ev_0039,ev,simulation_feeder_09,1.78,2026-01-15T22:15:00+05:30,2026-01-16T09:01:36+05:30,0.869,0.695,19.182,15,646,2026-01-16T09:01:36+05:30,1.4,1.78,0.1398,0.8613,available,70.47,73.8,75.0,train,time series data/caltech/California_Garage_01/2-39-92-442-2019-05-28T16-55-58-745410.csv.gz
ev_0040,ev,simulation_feeder_10,3.08,2026-01-15T22:00:00+05:30,2026-01-15T23:23:52+05:30,4.224,3.379,4.305,15,83,2026-01-15T23:23:52+05:30,1.4,3.08,0.0991,0.9621,available,57.47,50.1,57.4,train,time series data/caltech/California_Garage_02/2-6-3-1356-2019-11-04T16-34-00-120489.csv.gz
ev_0041,ev,simulation_feeder_01,6.36,2026-01-15T20:30:00+05:30,2026-01-15T21:05:47+05:30,2.23,1.784,3.793,15,35,2026-01-15T21:05:47+05:30,1.4,6.36,0.024,0.9089,available,91.38,21.5,23.9,train,time series data/caltech/California_Garage_02/2-6-3-1364-2019-11-04T15-09-04-773070.csv.gz
ev_0042,ev,simulation_feeder_02,2.31,2026-01-15T05:15:00+05:30,2026-01-15T06:26:08+05:30,2.458,1.966,2.739,15,71,2026-01-15T06:26:08+05:30,1.4,2.31,0.1939,0.9271,available,68.65,79.1,82.7,train,time series data/caltech/California_Garage_01/2-39-79-381-2018-10-11T23-55-17-869892.csv.gz
ev_0043,ev,simulation_feeder_03,6.99,2026-01-15T21:45:00+05:30,2026-01-15T23:12:14+05:30,9.882,7.906,10.163,15,87,2026-01-15T23:12:14+05:30,1.4,6.99,0.1919,0.9336,available,97.75,43.3,53.4,train,time series data/caltech/California_Garage_01/2-39-89-25-2019-10-24T16-22-46-306457.csv.gz
ev_0044,ev,simulation_feeder_04,6.92,2026-01-15T23:00:00+05:30,2026-01-16T05:45:13+05:30,22.419,17.935,46.735,15,405,2026-01-16T05:45:13+05:30,1.4,6.92,0.091,0.8869,available,99.12,38.9,61.5,train,time series data/caltech/California_Garage_02/2-6-3-1358-2019-03-07T17-30-11-253617.csv.gz
ev_0045,ev,simulation_feeder_05,1.76,2026-01-15T05:00:00+05:30,2026-01-15T05:19:32+05:30,0.559,0.447,0.573,15,19,2026-01-15T05:19:32+05:30,1.4,1.76,0.178,0.8759,available,38.51,50.4,51.9,train,time series data/caltech/California_Garage_01/2-39-78-366-2019-02-25T23-39-54-034718.csv.gz
ev_0046,ev,simulation_feeder_06,10.94,2026-01-15T02:30:00+05:30,2026-01-15T03:28:50+05:30,5.816,4.653,10.727,15,58,2026-01-15T03:28:50+05:30,1.4,10.94,0.1875,0.877,available,85.55,11.1,17.9,train,time series data/caltech/California_Garage_02/2-6-3-1624-2020-02-16T21-12-06-423208.csv.gz
ev_0047,ev,simulation_feeder_07,3.26,2026-01-15T20:30:00+05:30,2026-01-16T00:47:12+05:30,6.133,4.906,13.975,15,257,2026-01-16T00:47:12+05:30,1.4,3.26,0.1279,0.9695,available,47.29,71.0,84.0,train,time series data/jpl/Arroyo_Garage_01/1-1-194-818-2020-08-11T15-05-15-054035.csv.gz
ev_0048,ev,simulation_feeder_08,7.41,2026-01-15T19:45:00+05:30,2026-01-16T06:10:28+05:30,19.518,15.614,77.245,15,625,2026-01-16T06:10:28+05:30,1.4,7.41,0.1338,0.9381,available,91.18,55.1,76.5,train,time series data/caltech/California_Garage_02/2-6-3-1623-2019-07-14T14-27-01-705414.csv.gz
ev_0049,ev,simulation_feeder_09,16.83,2026-01-15T02:00:00+05:30,2026-01-15T10:15:45+05:30,51.317,41.054,85.04,15,495,2026-01-15T10:15:45+05:30,1.4,16.83,0.213,0.9432,available,85.04,26.7,87.0,train,time series data/caltech/California_Garage_02/2-6-3-1626-2019-12-05T20-40-13-758279.csv.gz
ev_0050,ev,simulation_feeder_10,7.21,2026-01-15T21:15:00+05:30,2026-01-16T01:40:36+05:30,4.641,3.713,31.916,15,265,2026-01-16T01:40:36+05:30,1.4,7.21,0.0688,0.8834,available,69.21,28.0,34.7,train,time series data/caltech/California_Garage_02/2-6-3-1625-2020-10-22T15-45-07-031478.csv.gz
ev_0051,ev,simulation_feeder_01,6.99,2026-01-15T12:00:00+05:30,2026-01-16T02:30:07+05:30,65.9,52.72,97.38,15,870,2026-01-16T02:30:07+05:30,1.4,6.99,0.0355,0.9452,available,97.38,22.3,90.0,train,time series data/caltech/California_Garage_01/2-39-139-567-2018-12-02T06-34-13-711649.csv.gz
ev_0052,ev,simulation_feeder_02,3.19,2026-01-15T07:30:00+05:30,2026-01-15T07:45:00+05:30,0.097,0.078,0.797,15,15,2026-01-15T07:45:00+05:30,1.4,3.19,0.0849,0.884,available,53.85,49.6,49.8,train,time series data/caltech/California_Garage_02/2-6-3-1364-2019-01-21T02-08-11-127868.csv.gz
ev_0053,ev,simulation_feeder_03,6.81,2026-01-15T21:15:00+05:30,2026-01-16T06:49:56+05:30,12.879,10.303,65.255,15,574,2026-01-16T06:49:56+05:30,1.4,6.81,0.0508,0.9059,available,85.19,70.7,85.8,train,time series data/caltech/California_Garage_02/2-6-3-1367-2019-05-29T15-55-40-546860.csv.gz
ev_0054,ev,simulation_feeder_04,3.36,2026-01-15T23:30:00+05:30,2026-01-16T06:45:55+05:30,10.0,8.0,24.411,15,435,2026-01-16T06:45:55+05:30,1.4,3.36,0.0643,0.9144,available,50.9,21.9,41.5,train,time series data/jpl/Arroyo_Garage_01/1-1-193-819-2020-10-31T18-05-45-215251.csv.gz
ev_0055,ev,simulation_feeder_05,3.35,2026-01-15T04:00:00+05:30,2026-01-15T07:30:22+05:30,1.663,1.33,11.745,15,210,2026-01-15T07:30:22+05:30,1.4,3.35,0.1576,0.957,available,89.81,17.9,19.8,train,time series data/caltech/California_Garage_01/2-39-78-360-2020-02-14T22-35-53-108369.csv.gz
ev_0056,ev,simulation_feeder_06,4.66,2026-01-15T19:45:00+05:30,2026-01-16T06:29:57+05:30,15.906,12.725,50.091,15,644,2026-01-16T06:29:57+05:30,1.4,4.66,0.2074,0.9051,available,70.71,11.6,34.1,train,time series data/caltech/California_Garage_01/2-39-79-377-2018-10-22T14-15-54-143265.csv.gz
ev_0057,ev,simulation_feeder_07,3.51,2026-01-15T23:45:00+05:30,2026-01-16T06:12:34+05:30,1.624,1.299,22.673,15,387,2026-01-16T06:12:34+05:30,1.4,3.51,0.0249,0.8656,available,69.19,82.0,84.3,train,time series data/caltech/California_Garage_01/2-39-125-21-2019-04-02T18-22-20-607296.csv.gz
ev_0058,ev,simulation_feeder_08,3.78,2026-01-15T00:15:00+05:30,2026-01-15T00:53:36+05:30,2.117,1.694,2.432,15,38,2026-01-15T00:53:36+05:30,1.4,3.78,0.1166,0.9258,available,60.32,30.0,33.5,train,time series data/caltech/California_Garage_01/2-39-91-437-2020-08-24T18-46-55-872106.csv.gz
ev_0059,ev,simulation_feeder_09,6.96,2026-01-15T23:00:00+05:30,2026-01-15T23:15:00+05:30,0.266,0.213,1.74,15,15,2026-01-15T23:15:00+05:30,1.4,6.96,0.1498,0.9594,available,67.52,11.9,12.3,train,time series data/caltech/California_Garage_01/2-39-92-442-2019-05-20T17-43-15-395681.csv.gz
ev_0060,ev,simulation_feeder_10,3.5,2026-01-15T01:45:00+05:30,2026-01-15T08:14:36+05:30,6.291,5.033,22.727,15,389,2026-01-15T08:14:36+05:30,1.4,3.5,0.1869,0.8962,available,63.74,36.2,46.1,train,time series data/caltech/California_Garage_01/2-39-91-437-2019-06-04T20-22-54-651011.csv.gz
ev_0061,ev,simulation_feeder_01,22.0,2026-01-15T21:00:00+05:30,2026-01-15T22:46:06.108212+05:30,38.901,31.121,38.904,15,106,2026-01-15T22:46:06.108212+05:30,1.4,22.0,0.0399,0.8606,available,95.38,12.5,53.3,train,time series data/caltech/N_Wilson_Garage_01/2-137-521-3843-2020-09-04T15-31-15-548391.csv.gz
ev_0062,ev,simulation_feeder_02,22.0,2026-01-15T04:45:00+05:30,2026-01-15T05:05:41.714420+05:30,7.588,6.07,7.588,15,20,2026-01-15T05:05:41.714420+05:30,1.4,22.0,0.0925,0.9373,available,74.57,72.4,82.6,train,time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-08-17T23-26-52-243284.csv.gz
ev_0063,ev,simulation_feeder_03,7.19,2026-01-15T08:15:00+05:30,2026-01-15T10:43:33+05:30,14.172,11.338,17.801,15,148,2026-01-15T10:43:33+05:30,1.4,7.19,0.1063,0.9694,available,61.72,47.4,70.4,train,time series data/caltech/California_Garage_01/2-39-139-28-2020-03-14T02-59-38-237351.csv.gz
ev_0064,ev,simulation_feeder_04,3.36,2026-01-15T05:30:00+05:30,2026-01-15T09:50:56+05:30,9.273,7.418,14.612,15,260,2026-01-15T09:50:56+05:30,1.4,3.36,0.0388,0.987,available,93.59,23.8,33.7,train,time series data/caltech/California_Garage_01/2-39-130-31-2020-01-31T00-10-05-351700.csv.gz
ev_0065,ev,simulation_feeder_05,7.12,2026-01-15T00:15:00+05:30,2026-01-15T07:07:12+05:30,34.87,27.896,48.914,15,412,2026-01-15T07:07:12+05:30,1.4,7.12,0.1932,0.9812,available,60.49,14.1,71.7,train,time series data/caltech/California_Garage_01/2-39-127-561-2018-11-15T18-51-02-967755.csv.gz
ev_0066,ev,simulation_feeder_06,6.81,2026-01-15T00:45:00+05:30,2026-01-15T06:29:25+05:30,35.115,28.092,39.091,15,344,2026-01-15T06:29:25+05:30,1.4,6.81,0.1247,0.9368,available,81.97,29.3,72.1,train,time series data/caltech/California_Garage_01/2-39-78-366-2019-10-14T19-26-55-635962.csv.gz
ev_0067,ev,simulation_feeder_07,3.4,2026-01-15T22:00:00+05:30,2026-01-16T07:36:28+05:30,8.577,6.862,32.666,15,576,2026-01-16T07:36:28+05:30,1.4,3.4,0.0253,0.969,available,97.37,13.4,22.2,train,time series data/caltech/California_Garage_02/2-6-3-1368-2019-11-22T16-40-39-737739.csv.gz
ev_0068,ev,simulation_feeder_08,1.79,2026-01-15T08:15:00+05:30,2026-01-15T10:32:28+05:30,0.883,0.706,4.101,15,137,2026-01-15T10:32:28+05:30,1.4,1.79,0.0257,0.9674,available,83.26,34.4,35.5,train,time series data/caltech/California_Garage_01/2-39-139-28-2019-08-10T02-47-25-479383.csv.gz
ev_0069,ev,simulation_feeder_09,1.94,2026-01-15T22:30:00+05:30,2026-01-16T06:53:53+05:30,5.184,4.147,16.292,15,503,2026-01-16T06:53:53+05:30,1.4,1.94,0.1886,0.9737,available,37.74,42.5,56.2,train,time series data/caltech/California_Garage_01/2-39-124-22-2018-05-16T17-06-44-261170.csv.gz
ev_0070,ev,simulation_feeder_10,6.81,2026-01-15T06:30:00+05:30,2026-01-15T08:24:45+05:30,10.162,8.13,13.024,15,114,2026-01-15T08:24:45+05:30,1.4,6.81,0.0298,0.9511,available,38.94,36.4,62.5,train,time series data/caltech/California_Garage_02/2-6-3-1361-2019-06-11T01-11-28-269018.csv.gz
ev_0071,ev,simulation_feeder_01,3.53,2026-01-15T20:45:00+05:30,2026-01-15T21:00:59+05:30,0.889,0.711,0.94,15,15,2026-01-15T21:00:59+05:30,1.4,3.53,0.1435,0.8823,available,61.58,44.1,45.5,train,time series data/caltech/California_Garage_01/2-39-78-361-2018-10-10T15-22-25-035648.csv.gz
ev_0072,ev,simulation_feeder_02,6.36,2026-01-15T21:30:00+05:30,2026-01-16T07:09:25+05:30,13.864,11.091,40.3,15,579,2026-01-16T07:09:25+05:30,1.4,6.36,0.0861,0.9776,available,40.3,21.3,55.7,train,time series data/caltech/California_Garage_01/2-39-79-380-2019-08-27T16-03-35-791038.csv.gz
ev_0073,ev,simulation_feeder_03,6.67,2026-01-15T00:30:00+05:30,2026-01-15T03:56:33+05:30,3.129,2.503,22.961,15,206,2026-01-15T03:56:33+05:30,1.4,6.67,0.1896,0.9216,available,81.15,51.7,55.6,train,time series data/caltech/S_Wilson_Garage_01/2-105-277-1696-2020-11-07T19-04-44-782006.csv.gz
ev_0074,ev,simulation_feeder_04,4.76,2026-01-15T20:45:00+05:30,2026-01-16T00:04:43+05:30,15.142,12.114,15.844,15,199,2026-01-16T00:04:43+05:30,1.4,4.76,0.1745,0.8683,available,58.19,39.6,65.6,train,time series data/office_01/Parking_Lot_01/19-102-260-1639-2020-08-25T15-23-16-617810.csv.gz
ev_0075,ev,simulation_feeder_05,22.0,2026-01-15T03:30:00+05:30,2026-01-15T04:32:34.898321+05:30,22.947,18.358,22.947,15,62,2026-01-15T04:32:34.898321+05:30,1.4,22.0,0.0648,0.9035,available,71.78,28.7,60.7,train,time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-07-26T22-10-25-357951.csv.gz
ev_0076,ev,simulation_feeder_06,6.82,2026-01-15T10:00:00+05:30,2026-01-15T12:22:33+05:30,11.509,9.207,16.203,15,142,2026-01-15T12:22:33+05:30,1.4,6.82,0.1979,0.8993,available,57.1,68.6,88.8,train,time series data/caltech/California_Garage_01/2-39-78-361-2018-07-02T04-44-17-169287.csv.gz
ev_0077,ev,simulation_feeder_07,1.78,2026-01-15T09:15:00+05:30,2026-01-15T09:30:07+05:30,0.436,0.349,0.448,15,15,2026-01-15T09:30:07+05:30,1.4,1.78,0.0875,0.8981,available,93.84,87.5,88.0,train,time series data/caltech/California_Garage_01/2-39-126-20-2019-03-07T03-52-21-824780.csv.gz
ev_0078,ev,simulation_feeder_08,3.33,2026-01-15T15:30:00+05:30,2026-01-15T17:13:48+05:30,5.541,4.433,5.761,15,103,2026-01-15T17:13:48+05:30,1.4,3.33,0.1235,0.8883,available,89.4,25.7,31.9,train,time series data/caltech/California_Garage_02/2-6-3-1368-2018-12-24T10-00-33-861188.csv.gz
ev_0079,ev,simulation_feeder_09,6.59,2026-01-15T01:15:00+05:30,2026-01-15T03:19:48+05:30,2.125,1.7,13.707,15,124,2026-01-15T03:19:48+05:30,1.4,6.59,0.0757,0.8869,available,89.33,86.5,88.9,train,time series data/caltech/California_Garage_01/2-39-88-24-2019-04-15T19-49-51-784134.csv.gz
ev_0080,ev,simulation_feeder_10,3.18,2026-01-15T22:00:00+05:30,2026-01-15T23:08:37+05:30,2.162,1.73,3.637,15,68,2026-01-15T23:08:37+05:30,1.4,3.18,0.0786,0.8771,available,49.24,56.5,60.9,train,time series data/caltech/California_Garage_01/2-39-95-444-2018-07-27T16-31-21-233647.csv.gz
